Index,Article,Swedish Word,English Meaning,Part of Speech,Swedish Sentence,
1,,och,and,conjunction,Jag vill ha kaffe och te.,I want coffee and tea.
1s,,å,and [spoken],conjunction,Jag vill ha kaffe å te.,I want coffee and tea.
2,att,vara,to be,verb,Jag vill vara hemma idag.,I want to be home today.
2s,att,va,to be [spoken],verb,Jag vill va hemma idag.,I want to be home today.
3,,i,in,preposition,Hon bor i Sverige.,She lives in Sweden.
4,att,ha,to have,verb,Jag vill ha en kopp kaffe.,I want a cup of coffee.
5,,dess,its,pronoun,Företaget och dess anställda.,The company and its employees.
6,,det,it; that,pronoun,Det är sant.,It is true.
6s,,de,it; that [spoken; t silent],pronoun,De är sant.,It is true.
7,,en,"a, an",determiner,Jag har en hund.,I have a dog.
8,,som,"who, which, that",pronoun,Mannen som bor här är snäll.,The man who lives here is nice.
9,,på,on,preposition,Boken ligger på bordet.,The book is on the table.
10,,å,"on, at (in fixed phrases)",preposition,Å andra sidan har du rätt.,"On the other hand, you are right."
11,,av,of; off; by,preposition,Det är en bok av en svensk författare.,It is a book by a Swedish author.
12,,för,for,preposition,Den här gåvan är för dig.,This gift is for you.
13,,att,to (infinitive marker); that,subjunction,Det är roligt att resa.,It is fun to travel.
13s,,å,to (infinitive marker); that [spoken; as infinitive marker],subjunction,Det är roligt å resa.,It is fun to travel.
14,att,kunna,"to be able to, can",verb,Jag vill kunna tala svenska.,I want to be able to speak Swedish.
15,,skola,"shall, will (pres. ska)",auxiliary verb,Vi ska resa imorgon.,We will travel tomorrow.
15s,,ska,"shall, will (pres. ska) [spoken/short form]",auxiliary verb,Vi ska resa imorgon.,We will travel tomorrow.
16,,jag,I,pronoun,Jag heter Anna.,My name is Anna.
16s,,ja,I [spoken; g silent],pronoun,Ja heter Anna.,My name is Anna.
17,,inte,"not (formal: icke, ej)",adverb,Jag förstår inte.,I don't understand.
18,,med,with,preposition,Kom med mig.,Come with me.
18s,,me,with [spoken; d silent],preposition,Kom me mej.,Come with me.
19,,till,to,preposition,Vi går till skolan.,We are going to school.
20,,liten,"small, little",adjective,Det är en liten stad.,It is a small town.
21,,den,the; that,determiner,Den bilen är röd.,That car is red.
22,,ett,"a, an",determiner,Jag ser ett hus.,I see a house.
23,,analog,analog,adjective,Jag har en analog klocka.,I have an analog watch.
24,att,unna,"to grant, not begrudge",verb,Jag unnar dig en semester.,I gladly grant you a vacation.
25,,om,about; around,preposition,Vi pratar om vädret.,We are talking about the weather.
26,,vi,we,pronoun,Vi bor i Göteborg.,We live in Gothenburg.
27,,men,but,conjunction,"Jag är trött, men glad.",I am tired but happy.
28,,man,"one, you",pronoun,Man får inte röka här.,One is not allowed to smoke here.
29,,de,the,determiner,De andra kommer snart.,The others are coming soon.
29s,,dom,the [spoken],determiner,Dom andra kommer snart.,The others are coming soon.
30,att,få,"to get, receive; may",verb,"Får jag en kaffe, tack?","May I have a coffee, please?"
31,,så,so; then,adverb,Jag är så trött.,I am so tired.
32,,som,"as, like",conjunction,Han sjunger som en fågel.,He sings like a bird.
33,,sig,himself/herself/itself/themselves,pronoun,Hon tvättar sig.,She washes herself.
33s,,sej,himself/herself/itself/themselves [spoken],pronoun,Hon tvättar sej.,She washes herself.
34,,han,he,pronoun,Han är min bror.,He is my brother.
35,,de,they,pronoun,De bor i Stockholm.,They live in Stockholm.
35s,,dom,they [spoken],pronoun,Dom bor i Stockholm.,They live in Stockholm.
36,att,bli,to become,verb,Jag vill bli läkare.,I want to become a doctor.
37,att,komma,to come,verb,Kan du komma hit?,Can you come here?
38,,det,the; that,determiner,Det huset är gammalt.,That house is old.
38s,,de,the; that [spoken; t silent],determiner,De huset är gammalt.,That house is old.
39,,sin,his/her/its own,pronoun,Han älskar sin hund.,He loves his own dog.
40,,eller,or,conjunction,Vill du ha te eller kaffe?,Do you want tea or coffee?
41,,från,from,preposition,Jag kommer från Finland.,I come from Finland.
42,,mycket,very; much,adverb,Tack så mycket.,Thank you very much.
42s,,mycke,very; much [spoken; t silent],adverb,Tack så mycke.,Thank you very much.
43,att,vilja,to want,verb,Jag vill lära mig svenska.,I want to learn Swedish.
44,,all,all,pronoun,All mat är slut.,All the food is gone.
45,att,göra,"to do, make",verb,Vad ska vi göra idag?,What shall we do today?
46,,om,"if, whether",subjunction,Jag vet inte om han kommer.,I don't know if he is coming.
47,,annan,"other, another",pronoun,Har du en annan färg?,Do you have another color?
48,,du,you,pronoun,Du är min vän.,You are my friend.
49,,någon,"someone, some, any",pronoun,Är det någon hemma?,Is anyone home?
49s,,nån,"someone, some, any [spoken]",pronoun,Är de nån hemma?,Is anyone home?
50,att,finna,to find,verb,Jag kan inte finna nyckeln.,I cannot find the key.
51,att,ta,to take (also: taga),verb,Ta en stol.,Take a chair.
52,,när,when,adverb,När kommer du hem?,When are you coming home?
53,att,se,to see,verb,Jag kan se havet.,I can see the sea.
54,,måste,"must, have to",auxiliary verb,Jag måste gå nu.,I have to go now.
55,,detta,this,pronoun,Detta är viktigt.,This is important.
56,,stor,"big, large",adjective,De har ett stort hus.,They have a big house.
57,,nu,now,adverb,Vi måste åka nu.,We have to leave now.
58,att,gå,"to go, walk",verb,Vi kan gå till parken.,We can walk to the park.
59,att,säga,to say,verb,Vad vill du säga?,What do you want to say?
59s,att,säja,to say [spoken; g->j],verb,Va vill du säja?,What do you want to say?
60,,den,"it, that",pronoun,Var är boken? Den ligger där.,Where is the book? It is over there.
61,,vad,what,pronoun,Vad heter du?,What is your name?
61s,,va,what [spoken],pronoun,Va heter du?,What is your name?
62,ett,år,year,noun,Jag har bott här i tre år.,I have lived here for three years.
63,att,äga,to own,verb,De äger ett hus på landet.,They own a house in the countryside.
64,,under,under; during,preposition,Katten sover under bordet.,The cat sleeps under the table.
65,att,betyda,to mean,verb,Vad betyder det här ordet?,What does this word mean?
66,,också,"also, too",adverb,Jag vill också komma.,I want to come too.
66s,,oxå,"also, too [spoken]",adverb,Jag vill oxå komma.,I want to come too.
67,,där,there,adverb,Där är min bil.,There is my car.
68,,då,then; at that time,adverb,Vi var unga då.,We were young then.
69,,min,"my, mine",pronoun,Det är min bok.,It is my book.
70,,böra,"ought to, should (pres. bör)",auxiliary verb,Du bör vila lite.,You ought to rest a little.
71,,hur,how,adverb,Hur mår du?,How are you?
72,,mig,me,pronoun,Ge boken till mig.,Give the book to me.
72s,,mej,me [spoken],pronoun,Ge boken till mej.,Give the book to me.
73,,mot,towards; against,preposition,Vi går mot stationen.,We are walking towards the station.
74,,bara,"only, just",adverb,Jag vill bara sova.,I just want to sleep.
75,,vilken,"which, what",pronoun,Vilken färg gillar du?,Which color do you like?
76,,ut,out,adverb,Vi går ut nu.,We are going out now.
77,,ny,new,adjective,Jag har en ny telefon.,I have a new phone.
78,,vid,"at, by",preposition,Vi möts vid stationen.,We will meet by the station.
79,,än,than; yet,conjunction,Hon är längre än jag.,She is taller than me.
80,,bra,good,adjective,Det är en bra idé.,It is a good idea.
81,,ingen,"no one, none, no",pronoun,Ingen vet svaret.,No one knows the answer.
82,,dem,them,pronoun,Jag såg dem igår.,I saw them yesterday.
82s,,dom,them [spoken],pronoun,Jag såg dom igår.,I saw them yesterday.
83,,efter,after,preposition,Vi ses efter jobbet.,See you after work.
84,,upp,up,particle,"Stå upp, tack.","Stand up, please."
85,,hon,she,pronoun,Hon är lärare.,She is a teacher.
86,,lite,"a little, a bit",adverb,Jag talar lite svenska.,I speak a little Swedish.
87,,denna,this,pronoun,Denna bok är intressant.,This book is interesting.
88,,in,in,adverb,Kom in!,Come in!
89,,mycket,"much, a lot of",adjective,Det finns mycket mat.,There is a lot of food.
89s,,mycke,"much, a lot of [spoken; t silent]",adjective,De finns mycke mat.,There is a lot of food.
90,,över,over; above,preposition,Bron går över floden.,The bridge goes over the river.
91,att,ge,to give (formal: giva),verb,Kan du ge mig vatten?,Can you give me water?
92,,vår,"our, ours",pronoun,Det är vår bil.,It is our car.
92s,,våran,"our, ours [spoken]",pronoun,De är våran bil.,It is our car.
93,en,del,part,noun,En del av boken är tråkig.,A part of the book is boring.
94,,här,here,adverb,Jag bor här.,I live here.
95,,även,"also, even",adverb,Även barnen var med.,Even the children were there.
96,att,skriva,to write,verb,Jag vill skriva ett brev.,I want to write a letter.
97,en,tid,time,noun,Jag har ingen tid.,I have no time.
98,,ju,"you know, of course",adverb,Du vet ju svaret.,"You know the answer, of course."
99,,sedan,"then, afterwards; since",adverb,Vi åt och sedan gick vi hem.,We ate and then went home.
99s,,sen,"then, afterwards; since [spoken]",adverb,Vi åt och sen gick vi hem.,We ate and then went home.
100,att,te sig,"to appear, seem",verb,Saken ter sig svår.,The matter seems difficult.
100s,att,te sej,"to appear, seem [spoken; sig->sej]",verb,Saken ter sej svår.,The matter seems difficult.
101,att,riva,to tear down; to grate,verb,De ska riva det gamla huset.,They are going to tear down the old house.
102,att,börja,"to begin, start",verb,Filmen börjar klockan sju.,The movie starts at seven.
103,,hel,"whole, entire",adjective,Jag åt en hel pizza.,I ate a whole pizza.
104,en,dag,day,noun,Ha en bra dag!,Have a good day!
105,,själv,"self, oneself",pronoun,Jag gjorde det själv.,I did it myself.
106,en,människa,"human being, person",noun,Varje människa är unik.,Every person is unique.
107,ett,land,country; land,noun,Sverige är ett vackert land.,Sweden is a beautiful country.
108,,svensk,Swedish,adjective,Han läser en svensk tidning.,He is reading a Swedish newspaper.
109,en,fråga,question,noun,Jag har en fråga.,I have a question.
110,,oss,us,pronoun,Kom och hjälp oss.,Come and help us.
111,att,tro,"to believe, think",verb,Jag tror att det regnar.,I think it is raining.
112,,el,electricity,noun,Elen är dyr just nu.,Electricity is expensive right now.
113,att,tycka,"to think, have an opinion",verb,Vad tycker du om filmen?,What do you think of the movie?
114,en,kommentar,comment,noun,Han skrev en kommentar.,He wrote a comment.
115,att,veta,to know,verb,Jag vill veta sanningen.,I want to know the truth.
116,,idag,today (also: i dag),adverb,Vad ska vi göra idag?,What shall we do today?
117,att,försöka,to try,verb,Jag ska försöka komma.,I will try to come.
118,att,behöva,to need,verb,Jag behöver hjälp.,I need help.
119,,samma,same,pronoun,Vi bor i samma hus.,We live in the same house.
120,,mellan,between,preposition,Affären ligger mellan banken och kaféet.,The shop is between the bank and the café.
121,att,känna,to feel; to know,verb,Jag känner honom väl.,I know him well.
122,att,läsa,to read,verb,Jag tycker om att läsa böcker.,I like to read books.
123,att,ro,to row,verb,Vi ror över sjön.,We row across the lake.
124,,kanske,"maybe, perhaps",adverb,Kanske kommer hon imorgon.,Maybe she will come tomorrow.
125,,lik,"alike, similar",adjective,Sonen är lik sin far.,The son is like his father.
126,att,låta,to let; to sound,verb,Låt mig hjälpa dig.,Let me help you.
127,,olik,"different, unlike",adjective,De två bröderna är väldigt olika.,The two brothers are very different.
128,,sådan,"such, that kind of",pronoun,Jag vill ha en sådan bil.,I want a car like that.
128s,,sån,"such, that kind of [spoken]",pronoun,Jag vill ha en sån bil.,I want a car like that.
129,ett,sätt,"way, manner",noun,På vilket sätt menar du?,In what way do you mean?
130,,hans,his,pronoun,Det är hans cykel.,It is his bicycle.
131,,din,"your, yours",pronoun,Är det din jacka?,Is that your jacket?
132,en,gång,"time, occasion",noun,En gång i veckan tränar jag.,Once a week I exercise.
133,att,stå,to stand,verb,Vi måste stå i kö.,We have to stand in line.
134,,inom,within,preposition,Jag är tillbaka inom en timme.,I will be back within an hour.
135,att,visa,to show,verb,Kan du visa mig vägen?,Can you show me the way?
136,att,använda,to use,verb,Får jag använda din penna?,May I use your pen?
137,att,vända,to turn,verb,Vänd dig om!,Turn around!
138,att,hålla,"to hold, keep",verb,Kan du hålla min väska?,Can you hold my bag?
139,,genom,through,preposition,Vi gick genom parken.,We walked through the park.
140,,helt,"completely, entirely",adverb,Jag är helt säker.,I am completely sure.
141,,fler,more,adjective,Vi behöver fler stolar.,We need more chairs.
142,,utan,without,preposition,Jag dricker kaffe utan socker.,I drink coffee without sugar.
143,,väl,well; surely,adverb,Du kommer väl på festen?,"You are coming to the party, aren't you?"
144,ett,barn,child,noun,De har två barn.,They have two children.
145,,enligt,according to,preposition,Enligt tidningen blir det regn.,"According to the newspaper, it will rain."
146,att,tänka,to think,verb,Jag måste tänka på det.,I have to think about it.
147,,ni,you (pl. pron.),pronoun,Var bor ni?,Where do you live?
148,,viktig,important,adjective,Det är en viktig dag.,It is an important day.
148s,,vikti,important [spoken; g silent],adjective,De är en vikti dag.,It is an important day.
149,en,ring,ring,noun,Hon har en vacker ring.,She has a beautiful ring.
150,,eftersom,"because, since",subjunction,Jag stannar hemma eftersom jag är sjuk.,I am staying home because I am sick.
151,ett,liv,life,noun,Han räddade mitt liv.,He saved my life.
152,,deras,"their, theirs",pronoun,Det är deras hus.,It is their house.
153,en,värld,world,noun,Vi lever i en stor värld.,We live in a big world.
